Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/3/19, 00:08:14, 67525.6, 68140.0, 67508.8, 67969.0, 68149056, 80000, 25442502, 42706536
2024/3/19, 00:21:14, 67969.0, 68048.0, 67654.8, 67936.8, 52344088, 80000, 29687608, 22656506
2024/3/19, 00:43:07, 67936.8, 67942.4, 67106.4, 67125.0, 56429960, 80000, 34062976, 22366978
2024/3/19, 00:54:52, 67125.0, 67217.9, 66772.9, 66772.9, 55822120, 80000, 29623038, 26199084
2024/3/19, 01:05:25, 66772.9, 67165.9, 66601.6, 67000.0, 57589224, 80000, 25773256, 31815968
2024/3/19, 01:14:23, 67000.0, 67338.0, 66838.9, 67113.9, 56602168, 80000, 30164844, 26437310
2024/3/19, 01:28:47, 67113.9, 67380.0, 67000.0, 67344.1, 48083784, 80000, 23204260, 24879528
2024/3/19, 01:50:18, 67344.1, 67548.2, 67236.0, 67321.5, 48798356, 80000, 25857800, 22940536
2024/3/19, 02:16:10, 67321.5, 67382.6, 67020.0, 67265.0, 43373692, 80000, 21462756, 21910934
2024/3/19, 02:50:48, 67265.0, 67388.0, 66910.9, 67368.3, 42864476, 80000, 21934892, 20929602
2024/3/19, 03:21:05, 67368.3, 67497.6, 67011.6, 67061.4, 48134964, 80000, 24737232, 23397722
2024/3/19, 03:58:50, 67061.4, 67436.8, 66951.8, 67374.6, 43046000, 80000, 21103832, 21942182
2024/3/19, 04:49:04, 67374.6, 67799.9, 67249.9, 67689.7, 61089648, 80000, 29955032, 31134618
2024/3/19, 05:29:46, 67689.7, 67977.0, 67520.0, 67673.9, 35203000, 59388, 16697354, 18505642
2024/3/19, 06:00:00, 67673.8, 67687.7, 67336.4, 67511.3, 45162136, 80000, 23898104, 21264036
2024/3/19, 06:47:55, 67511.3, 68054.9, 67501.2, 68002.9, 53469536, 80000, 23242060, 30227468
2024/3/19, 07:25:02, 68002.9, 68020.0, 67562.4, 67753.5, 57300772, 80000, 32992872, 24307900
2024/3/19, 08:04:01, 67753.5, 68178.6, 67700.0, 67717.8, 56718672, 80000, 28553428, 28165260
2024/3/19, 08:26:10, 67717.8, 67961.6, 67386.9, 67477.9, 55044944, 80000, 30381352, 24663616
2024/3/19, 08:45:13, 67477.9, 67545.0, 66913.0, 66982.2, 56936064, 80000, 32219066, 24716986
2024/3/19, 08:57:04, 66982.2, 67241.6, 66729.5, 66775.1, 58008764, 80000, 31049106, 26959670
2024/3/19, 09:09:21, 66775.1, 67039.7, 66529.2, 66570.0, 63498660, 80000, 32661546, 30837106
2024/3/19, 09:21:48, 66570.0, 66772.4, 66300.0, 66344.7, 59951272, 80000, 35438812, 24512456
2024/3/19, 09:28:09, 66344.7, 66538.4, 66068.6, 66119.6, 59953024, 80000, 32365936, 27587088
2024/3/19, 09:34:26, 66119.6, 66181.5, 65850.0, 66005.6, 61378208, 80000, 32757800, 28620428
2024/3/19, 09:40:14, 66005.6, 66277.4, 65922.3, 66041.8, 62194860, 80000, 30545980, 31648868
2024/3/19, 09:53:04, 66041.8, 66180.2, 65606.7, 65736.3, 59732712, 80000, 33115448, 26617260
